Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9995259997893332,0.961038961038961,0.7551020408163265,0.8457142857142858,0.9571936047913819
XGBoost,0.9995611109160493,0.9294117647058824,0.8061224489795918,0.8633879781420765,0.9755124651154777
Logistic Regression,0.9755275446789088,0.06097560975609756,0.9183673469387755,0.11435832274459974,0.9720834996210077
CatBoost,0.9995611109160493,0.9195402298850575,0.8163265306122449,0.8648648648648649,0.9831827532645023
TabNet,0.9991924440855307,0.776595744680851,0.7448979591836735,0.7604166666666666,0.97130317377373
LightGBM,0.9972086654260736,0.3216374269005848,0.5612244897959183,0.40892193308550184,0.7029807245070228
Hybrid (6 Models),0.9994908886626171,0.8791208791208791,0.8163265306122449,0.8465608465608465,0.9722702143603642
